%Dados Gerados pela funçao w2weka                                               
@Relation VariavelMatlab                                                        
@attribute ATR1 real                                                            
@attribute ATR2 real                                                            
@attribute ATR3 real                                                            
@attribute ATR4 real                                                            
@attribute ATR5 real                                                            
@attribute ATR6 real                                                            
@attribute ATR7 real                                                            
@attribute ATR8 real                                                            
@attribute ATR9 real                                                            
@attribute ATR10 real                                                           
@attribute ATR11 real                                                           
@attribute ATR12 real                                                           
@attribute ATR13 real                                                           
@attribute ATR14 real                                                           
@attribute ATR15 real                                                           
@attribute ATR16 real                                                           
@attribute class {1,2,3,4,5}                                                    
@data                                                                           
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
  0,214,173,153,  0,137,130,256,  0,117, 89,247,  0,250,184,112,2               
  0,256,256,256,  2,150,158,147, 16,168,172,165, 16,256,256,256,5               
 21, 98,100,222, 20,208,223,113, 50,256,214,178, 64,256,132, 69,4               
 76,107, 36,181, 49,215,251,133, 48,256,256,182, 45,242,256,213,3               
 96,123, 59,185, 35,210,254,123, 16,256,256,184, 50,241,256,213,3               
112,155,100,211, 59,147,210,108, 35,256,233,178, 29,256,142, 53,4               
128,181,144,231, 71,128,178,100, 48,256,225,178, 39,253,136, 61,4               
137,173,144,219, 79,138,204,113, 68,256,210,179, 76,256,150, 88,4               
 80,256,256,256, 77,221,218,212, 44, 60, 66, 77, 78,256,256,256,5               
132,213,194,251, 93, 98,138,124, 90,256,237,160, 92,256,108, 79,4               
172,256,243,161,174,165, 68,187, 31,116,176,256,181,117, 35,156,2               
192,256,244,120,190,186, 89,161, 42,109,174,256,194,102, 43,165,2               
224,256,249,124,224,184, 88,162, 37,124,173,256,199, 89, 39,170,2               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
200, 63, 68,223,113,252,236,112,176,256,256,182,158,256,256,184,3               
256,234,142,120,113,119,140,256,113, 83,102,254,256,244,148, 75,2               
256,245,160,124,134,106,132,256, 97, 94,119,256,256,233,129, 87,2               
176, 51, 45,201,131,253,249,109,192,256,189,177,178,256, 88, 42,4               
199, 54, 53,192,127,251,247, 97,187,256,256,182,159,256,256,184,3               
187, 47, 39,173,125,252,252,114,188,256,187,181,178,256, 85, 41,4               
204, 50, 41,206,123,252,244,111,167,256,256,163,160,256,256,174,3               
188, 46, 49,198,128,249,243,117,161,256,199,176,163,256, 96, 52,4               
174,256,256,256,122,184,186,202, 73, 96, 93,107,182,256,256,256,5               
209,124,126,247,100,206,180,109,172,256,216,164,160,256, 90, 73,4               
211, 39, 39,210,109,234,233, 91,160,256,256,172,138,256,256,178,3               
204, 42, 50,206, 91,235,232, 89,160,256,256,172,145,256,256,178,3               
199, 51, 48,204,117,235,237, 87,157,256,256,176,137,256,256,182,3               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
155, 57, 52,187,133,254,251,119,176,256,193,176,185,256, 92, 56,4               
147, 46, 46,173,138,256,254,119,176,256,199,176,169,256, 86, 36,4               
161, 57, 41,180,133,254,251,109,176,256,199,176,185,256, 86, 52,4               
184,256,256,256,132,214,200,205, 75,108,106,127,185,256,256,256,5               
204, 77, 66,199,122,232,242,100,176,256,218,174,167,256, 87, 42,4               
179,256,256,256,122,202,208,192, 69, 94,112,121,184,256,256,256,5               
210, 76, 73,221,113,224,230,107,167,256,256,169,150,256,256,170,3               
169,256,256,256,108,165,160,149,103,140,154,166,185,256,253,256,5               
197, 37, 38,185,111,252,252,120,160,256,256,176,154,256,256,181,3               
191, 42, 47,189,122,253,252,106,176,256,256,176,157,256,256,198,3               
194, 49, 44,190,119,254,253,107,166,256,256,171,148,256,256,193,3               
256,242,148,127,146, 98,112,256, 35,135,130,256,248,162, 60, 90,2               
219, 88, 74,192,111,228,232,110,162,256,214,163,164,256, 82, 43,4               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
210, 97,108,239,114,236,223,124,176,256,256,172,159,256,256,178,3               
256,228,135,127,111,126,139,256,106, 91,112,256,256,228,108, 86,2               
198,256,256,241,152,215,214,236, 64, 96,102, 94,182,256,256,256,5               
216, 96, 99,233,121,237,213,114,176,256,256,166,153,256,256,189,3               
161,256,256,256,104,157,167,193,104,145,148,149,183,256,256,256,5               
209, 56, 67,213,119,239,233,101,175,256,256,150,151,256,256,167,3               
194, 58, 61,212,132,248,248,113,167,256,196,156,156,256, 84, 58,4               
256,232,139,106,129,127,131,256, 85, 87,105,256,256,225,111, 78,2               
183, 57, 70,204,132,252,252,111,160,256,198,171,162,256, 71, 65,4               
205, 62, 67,211,113,249,242, 98,160,256,256,164,143,256,256,167,3               
198, 57, 50,211,119,249,227,100,160,256,256,159,147,256,256,175,3               
166,256,256,256,127,190,196,200, 72,109,101,114,160,256,256,256,5               
211, 96, 95,230,115,238,217,120,160,256,210,160,159,256, 79, 61,4               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1               
182, 70, 62,211,134,254,251,121,174,256,256,160,148,256,256,163,3               
197, 66, 61,197,132,251,251,111,168,256,256,176,148,256,256,183,3               
200, 62, 49,202,116,251,248,109,169,256,256,178,151,256,256,180,3               
